open,high,low,volume,close
27.37,28.3,27.33,69.819518,27.99
27.48,27.76,27.12,35.760445,27.37
27.41,28.25,27.31,60.284357,27.64
27.57,27.83,27.23,49.837248,27.71
26.74,27.73,26.68,52.643679,27.31
27.1,27.18,26.55,38.854508,26.71
27.07,27.64,26.95,59.753575,27.39
27.3,27.54,26.85,50.816253,26.99
27.29,27.77,26.84,60.684137,27.49
26.3,27.38,26.28,78.919077,27.3
25.39,26.46,25.3,52.077082,26.0
24.77,25.68,24.56,70.589325,25.59
25.21,25.21,24.58,54.016882,24.64
26.3,26.37,25.34,55.605235,25.6
26.39,26.82,26.3,25.459499,26.5
26.68,26.91,26.32,27.000546,26.39
26.8,26.85,26.52,24.161093,26.65
26.72,27.17,26.56,43.317062,26.8
27.05,27.05,26.58,41.546903,26.72
27.23,27.31,26.81,43.244676,27.07
26.7,27.15,26.53,40.722227,27.15
27.19,27.22,26.77,44.562387,26.79
27.55,27.75,27.21,37.323806,27.23
28.11,28.15,27.34,40.506926,27.75
28.08,28.29,27.87,35.083854,27.94
28.1,28.19,27.73,31.830373,27.94
28.32,28.53,27.7,42.963957,28.07
28.5,28.5,28.0,40.903079,28.2
27.4,28.86,27.33,65.581753,28.69
27.01,27.51,26.72,40.845367,27.38
27.26,27.56,26.81,42.53836,26.91
27.65,27.66,26.56,54.241986,27.33
28.4,28.66,27.63,39.717081,27.68
28.66,28.75,27.42,38.195829,28.4
30.3,30.3,28.26,81.226255,28.5
30.65,30.65,29.96,39.768418,30.12
29.85,31.1,29.8,46.983212,30.93
29.88,30.29,29.79,20.171425,29.91
30.18,30.5,29.92,25.479546,30.15
30.33,30.53,30.03,25.627525,30.23
30.29,30.69,29.74,32.883533,30.04
30.16,30.55,29.6,25.819772,29.92
31.2,31.23,29.56,52.806865,30.03
32.16,32.24,31.03,35.157261,31.25
32.57,32.86,31.75,33.521999,31.85
32.15,33.24,31.73,48.593043,32.61
31.52,32.18,31.06,47.714543,32.18
32.7,32.76,30.96,47.81194,31.62
32.3,33.95,32.1,58.450965,32.8
33.2,34.1,32.52,43.194571,33.64
33.65,34.47,33.32,53.163565,33.49
33.7,33.99,33.17,57.269205,33.29
31.54,34.46,31.03,99.970072,34.16
30.51,32.15,30.3,42.672897,31.33
30.89,31.87,30.71,57.885391,31.02
30.76,30.79,29.9,33.828896,30.33
30.02,31.07,29.21,50.512539,31.07
31.8,31.88,31.04,23.578708,31.18
31.47,32.15,31.31,33.172574,31.66
31.4,31.59,30.75,29.011765,31.34
32.57,32.58,31.52,36.696749,31.58
32.58,33.35,32.5,33.757215,32.63
32.5,33.1,32.41,25.221534,32.66
32.44,32.95,32.2,31.5833,32.7
32.59,32.84,32.37,22.092041,32.48
33.54,33.68,32.35,60.620829,32.62
33.87,33.91,33.34,32.510239,33.46
33.4,33.74,32.85,35.102254,33.64
33.44,33.92,32.8,38.799255,32.9
32.35,33.71,32.01,58.100806,33.67
32.49,33.15,32.07,37.335438,32.18
32.0,32.73,31.51,32.283849,32.28
32.17,33.09,32.02,33.606432,32.41
32.51,33.23,31.84,50.000447,32.7
34.2,34.28,32.65,50.659814,32.9
35.07,35.1,33.11,54.065501,34.18
33.9,35.1,33.33,38.45389,34.72
34.0,34.05,33.33,30.237326,33.7
32.87,33.32,32.17,27.01755,33.17
32.28,33.79,32.28,45.466811,32.73
31.43,32.32,31.31,40.765431,31.9
31.5,31.96,30.2,72.49449,31.27
33.0,33.88,32.49,58.080514,32.75
36.43,36.58,32.5,95.212968,32.98
35.93,36.1,34.88,69.983671,35.82
36.8,38.06,36.31,55.263472,36.99
36.5,37.9,35.8,59.679368,37.38
37.5,38.04,36.9,63.542538,37.5
36.61,37.76,35.62,89.814786,37.56
38.0,38.0,36.27,90.823442,36.36
40.38,40.56,38.09,59.786274,38.57
40.0,40.66,39.12,41.006237,40.04
41.12,41.12,38.8,64.806457,40.2
40.7,42.24,40.46,54.262959,41.13
40.0,41.51,39.99,64.86575,40.98
39.0,39.84,38.51,40.652641,39.53
39.85,41.09,39.25,54.875823,39.42
39.6,40.64,38.9,55.88484,39.76
39.48,40.6,38.3,81.219193,39.77
36.5,40.7,36.4,97.846478,40.2
35.84,38.0,35.61,75.718609,37.09
35.1,36.62,35.09,53.701333,35.55
35.55,35.78,34.54,40.248381,35.15
35.6,36.7,35.5,45.369591,35.67
35.63,36.11,34.95,47.845909,35.84
35.11,36.96,35.11,83.078359,35.99
32.98,35.88,32.8,84.310196,34.76
32.76,33.53,32.1,52.90858,33.12
32.5,33.78,32.23,64.68702,32.33
31.45,32.99,31.45,68.34335,32.56
30.75,31.71,30.74,38.53074,31.06
30.4,30.84,29.87,36.731618,30.7
30.55,31.09,30.4,39.548884,30.79
30.49,30.8,30.12,27.884561,30.5
30.3,31.33,30.27,50.638257,30.37
29.6,30.2,29.57,34.220642,29.85
28.72,30.19,28.63,59.516386,29.72
29.09,29.1,28.52,32.902669,28.6
28.66,29.25,28.4,34.00841,29.16
29.11,29.26,28.04,42.128694,28.46
30.12,30.12,29.1,39.622918,29.11
29.94,30.37,29.85,38.206777,30.11
29.57,30.1,29.35,33.495394,29.94
29.73,30.36,29.51,46.763892,29.57
29.82,29.95,29.3,50.213546,29.93
29.38,29.88,29.05,58.818718,29.82
30.57,31.9,29.9,59.000716,29.95
30.73,31.2,30.26,38.979445,30.77
30.6,31.48,30.2,56.430201,31.03
30.6,31.3,29.9,37.989001,30.85
30.5,32.03,30.5,55.743855,30.73
33.1,33.4,30.68,100.066549,31.22
30.78,33.83,30.28,89.771259,33.82
31.09,31.35,30.1,40.578649,30.75
31.45,32.6,30.59,52.158128,31.52
31.18,32.29,30.47,52.434306,31.8
32.42,32.74,31.02,58.032538,31.3
31.9,33.08,31.54,105.296977,32.5
28.54,31.79,28.54,108.178862,31.79
28.8,29.01,27.48,39.508849,28.9
28.85,29.6,28.6,56.394399,28.9
28.35,29.38,28.32,57.443213,28.94
28.28,28.66,27.91,54.107777,28.44
27.05,28.5,26.7,73.582554,28.5
27.45,27.49,26.8,34.714647,27.06
27.6,27.83,27.36,30.591274,27.51
27.52,27.79,27.3,23.412698,27.67
27.75,28.14,27.41,39.86613,27.64
27.36,27.95,27.3,37.981814,27.85
28.2,28.27,26.95,50.948509,27.46
29.23,29.52,28.05,45.542848,28.19
29.3,29.48,28.68,36.190648,29.45
28.96,30.54,28.73,62.293118,29.15
28.8,29.28,28.28,46.327775,28.96
27.5,29.0,27.41,67.671106,28.98
27.7,28.28,27.26,44.744384,27.5
27.3,27.88,26.91,42.276685,27.53
27.01,28.0,26.86,44.572742,27.43
25.81,27.2,25.81,50.918797,27.0
26.17,26.2,25.77,19.75272,25.93
26.0,26.23,25.73,14.591537,26.16
26.44,26.57,26.01,20.252556,26.05
26.21,26.56,25.61,33.405239,26.43
26.32,26.52,26.14,18.481106,26.21
26.96,26.97,26.13,31.500807,26.31
27.2,27.58,26.81,32.992803,26.93
26.99,27.2,26.72,34.89797,27.1
26.69,27.27,26.47,42.599739,26.87
26.4,26.69,26.19,36.710128,26.59
27.45,27.65,26.24,71.173742,26.47
26.56,26.8,26.0,34.575268,26.25
27.0,27.15,26.4,26.2347,26.41
27.0,27.28,26.52,36.753416,26.84
26.12,27.22,26.1,59.304456,26.76
27.2,27.2,26.1,72.270258,26.12
