open,high,low,volume,close
27.37,28.3,27.33,69819.518,27.99
27.48,27.76,27.12,35760.44500000001,27.37
27.41,28.25,27.31,60284.357,27.64
27.57,27.83,27.23,49837.24799999999,27.71
26.74,27.73,26.68,52643.679,27.31
27.1,27.18,26.55,38854.508,26.71
27.07,27.64,26.95,59753.575,27.39
27.3,27.54,26.85,50816.253000000004,26.99
27.29,27.77,26.84,60684.137,27.49
26.3,27.38,26.28,78919.077,27.3
25.39,26.46,25.3,52077.081999999995,26.0
24.77,25.68,24.56,70589.325,25.59
25.21,25.21,24.58,54016.882,24.64
26.3,26.37,25.34,55605.235,25.6
26.39,26.82,26.3,25459.498999999996,26.5
26.68,26.91,26.32,27000.546000000002,26.39
26.8,26.85,26.52,24161.093,26.65
26.72,27.17,26.56,43317.062,26.8
27.05,27.05,26.58,41546.903,26.72
27.23,27.31,26.81,43244.676,27.07
26.7,27.15,26.53,40722.227000000006,27.15
27.19,27.22,26.77,44562.387,26.79
27.55,27.75,27.21,37323.806,27.23
28.11,28.15,27.34,40506.926,27.75
28.08,28.29,27.87,35083.85399999999,27.94
28.1,28.19,27.73,31830.373,27.94
28.32,28.53,27.7,42963.957,28.07
28.5,28.5,28.0,40903.079,28.2
27.4,28.86,27.33,65581.75300000001,28.69
27.01,27.51,26.72,40845.367,27.38
27.26,27.56,26.81,42538.36,26.91
27.65,27.66,26.56,54241.986,27.33
28.4,28.66,27.63,39717.081,27.68
28.66,28.75,27.42,38195.829,28.4
30.3,30.3,28.26,81226.255,28.5
30.65,30.65,29.96,39768.418,30.12
29.85,31.1,29.8,46983.212,30.93
29.88,30.29,29.79,20171.425,29.91
30.18,30.5,29.92,25479.546,30.15
30.33,30.53,30.03,25627.524999999998,30.23
30.29,30.69,29.74,32883.533,30.04
30.16,30.55,29.6,25819.772,29.92
31.2,31.23,29.56,52806.865000000005,30.03
32.16,32.24,31.03,35157.261,31.25
32.57,32.86,31.75,33521.999,31.85
32.15,33.24,31.73,48593.043000000005,32.61
31.52,32.18,31.06,47714.543,32.18
32.7,32.76,30.96,47811.94,31.62
32.3,33.95,32.1,58450.96500000001,32.8
33.2,34.1,32.52,43194.571,33.64
33.65,34.47,33.32,53163.565,33.49
33.7,33.99,33.17,57269.20500000001,33.29
31.54,34.46,31.03,99970.072,34.16
30.51,32.15,30.3,42672.897,31.33
30.89,31.87,30.71,57885.391,31.02
30.76,30.79,29.9,33828.896,30.33
30.02,31.07,29.21,50512.539000000004,31.07
31.8,31.88,31.04,23578.708,31.18
31.47,32.15,31.31,33172.574,31.66
31.4,31.59,30.75,29011.765000000003,31.34
32.57,32.58,31.52,36696.748999999996,31.58
32.58,33.35,32.5,33757.21500000001,32.63
32.5,33.1,32.41,25221.534,32.66
32.44,32.95,32.2,31583.300000000003,32.7
32.59,32.84,32.37,22092.041,32.48
33.54,33.68,32.35,60620.829,32.62
33.87,33.91,33.34,32510.238999999998,33.46
33.4,33.74,32.85,35102.25399999999,33.64
33.44,33.92,32.8,38799.255000000005,32.9
32.35,33.71,32.01,58100.806000000004,33.67
32.49,33.15,32.07,37335.438,32.18
32.0,32.73,31.51,32283.848999999995,32.28
32.17,33.09,32.02,33606.432,32.41
32.51,33.23,31.84,50000.44699999999,32.7
34.2,34.28,32.65,50659.814000000006,32.9
35.07,35.1,33.11,54065.501,34.18
33.9,35.1,33.33,38453.89,34.72
34.0,34.05,33.33,30237.326,33.7
32.87,33.32,32.17,27017.55,33.17
32.28,33.79,32.28,45466.811,32.73
31.43,32.32,31.31,40765.431,31.9
31.5,31.96,30.2,72494.49,31.27
33.0,33.88,32.49,58080.514,32.75
36.43,36.58,32.5,95212.96800000001,32.98
35.93,36.1,34.88,69983.671,35.82
36.8,38.06,36.31,55263.472,36.99
36.5,37.9,35.8,59679.368,37.38
37.5,38.04,36.9,63542.538,37.5
36.61,37.76,35.62,89814.786,37.56
38.0,38.0,36.27,90823.442,36.36
40.38,40.56,38.09,59786.274,38.57
40.0,40.66,39.12,41006.237,40.04
41.12,41.12,38.8,64806.456999999995,40.2
40.7,42.24,40.46,54262.958999999995,41.13
40.0,41.51,39.99,64865.75000000001,40.98
39.0,39.84,38.51,40652.640999999996,39.53
39.85,41.09,39.25,54875.823,39.42
39.6,40.64,38.9,55884.84000000001,39.76
39.48,40.6,38.3,81219.193,39.77
36.5,40.7,36.4,97846.478,40.2
35.84,38.0,35.61,75718.609,37.09
35.1,36.62,35.09,53701.333,35.55
35.55,35.78,34.54,40248.381,35.15
35.6,36.7,35.5,45369.591,35.67
35.63,36.11,34.95,47845.90900000001,35.84
35.11,36.96,35.11,83078.359,35.99
32.98,35.88,32.8,84310.196,34.76
32.76,33.53,32.1,52908.58000000001,33.12
32.5,33.78,32.23,64687.01999999999,32.33
31.45,32.99,31.45,68343.35,32.56
30.75,31.71,30.74,38530.74,31.06
30.4,30.84,29.87,36731.617999999995,30.7
30.55,31.09,30.4,39548.884,30.79
30.49,30.8,30.12,27884.560999999998,30.5
30.3,31.33,30.27,50638.257000000005,30.37
29.6,30.2,29.57,34220.642,29.85
28.72,30.19,28.63,59516.386,29.72
29.09,29.1,28.52,32902.669,28.6
28.66,29.25,28.4,34008.40999999999,29.16
29.11,29.26,28.04,42128.694,28.46
30.12,30.12,29.1,39622.918,29.11
29.94,30.37,29.85,38206.777,30.11
29.57,30.1,29.35,33495.394,29.94
29.73,30.36,29.51,46763.892,29.57
29.82,29.95,29.3,50213.546,29.93
29.38,29.88,29.05,58818.718,29.82
30.57,31.9,29.9,59000.71600000001,29.95
30.73,31.2,30.26,38979.445,30.77
30.6,31.48,30.2,56430.201,31.03
30.6,31.3,29.9,37989.001000000004,30.85
30.5,32.03,30.5,55743.855,30.73
33.1,33.4,30.68,100066.549,31.22
30.78,33.83,30.28,89771.259,33.82
31.09,31.35,30.1,40578.649,30.75
31.45,32.6,30.59,52158.128000000004,31.52
31.18,32.29,30.47,52434.306000000004,31.8
32.42,32.74,31.02,58032.538,31.3
31.9,33.08,31.54,105296.977,32.5
28.54,31.79,28.54,108178.86200000001,31.79
28.8,29.01,27.48,39508.848999999995,28.9
28.85,29.6,28.6,56394.399,28.9
28.35,29.38,28.32,57443.213,28.94
28.28,28.66,27.91,54107.777,28.44
27.05,28.5,26.7,73582.554,28.5
27.45,27.49,26.8,34714.647,27.06
27.6,27.83,27.36,30591.273999999998,27.51
27.52,27.79,27.3,23412.698000000004,27.67
27.75,28.14,27.41,39866.13,27.64
27.36,27.95,27.3,37981.814,27.85
28.2,28.27,26.95,50948.509,27.46
29.23,29.52,28.05,45542.848,28.19
29.3,29.48,28.68,36190.647999999994,29.45
